"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Harvard Study Links Popular Plastic Ingredient to DNA Damage - SciTechDaily""","https://news.google.com/rss/articles/CBMijwFBVV95cUxPdWNYWjlHZkVaN3pKLUF6UnR1eFpPZXZCbnV0TngwVzFCcnd1MGRNcVAyRWkwVHNXR3Vpd0VUMU1PNVBJRmFmT0RSRDJwRGg2YW9FSW40dDlaVGFBNGZJR1J5aEFfYmR3TFhHMngtUG5uM0VJRWVObmJkV2poQ0pZLUM5cnJsZFN5QjJLVmtyNA?oc=5","2024-10-29 08:35:50","","Google News","United States Of America","Science","English","Harvard Study Links Popular Plastic Ingredient to DNA Damage SciTechDailyPlastic chemical phthalate causes DNA breakage and chromosome defects in sex cells, new study finds Medical XpressCommon Plastic Ingredient Linked to DNA Damage in Roundworms MSNStudy in roundworms finds how phthalates in plastic affect egg cell quality impact fertility The Week","",""
"""Why wait for Black Friday? The Celestron 114LCM computerized telescope is $115 off right now - Livescience.com""","https://news.google.com/rss/articles/CBMiiAFBVV95cUxQLWZrQ2RXTVVZMmRNMjAtYTk5WXlXVEdUOVZPVEw1YWFTN0loTEpKdVN0UUJxSG1iWHBxNGRoWUo3WVJZYVNtMkswb19zUzJ3Z29VQVBpZVpLS1NHMDBOelRUTEtUVUwzSTFnSmtMaGZMZ25lMV9aNWsxd1k3WHFTczBhS3VNdjUw?oc=5","2024-10-29 08:06:18","","Google News","United States Of America","Science","English","Why wait for Black Friday? The Celestron 114LCM computerized telescope is $115 off right now Livescience.com","",""
"""The growing scourge of plastic pollution: in numbers""","https://phys.org/news/2024-10-scourge-plastic-pollution.html","2024-10-29 07:46:34","","Phys.org","Australia","Science","English","Nations could agree in December on a world-first treaty to reduce the amount of plastic leaking into the environment which, if nothing is done, is forecast to triple by 2060.","https://scx1.b-cdn.net/csz/news/800a/2024/the-production-of-plas.jpg",""
"""China says it's ready to launch the next crew to its orbiting space station early Wednesday""","https://phys.org/news/2024-10-china-ready-crew-orbiting-space.html","2024-10-29 07:45:24","","Phys.org","United States Of America","Science","English","China said all systems are ready to launch the next crew to its orbiting space station early Wednesday, the latest mission to make the country a major space power.","https://scx1.b-cdn.net/csz/news/800a/2024/china-says-its-ready-t.jpg",""
"""Weird Reality of 2024: Both Sides Confident of Victory""","https://www.newser.com/story/358576/weird-reality-of-2024-both-sides-confident-of-victory.html","2024-10-29 07:03:00","John Johnson","Newser","United States Of America","Science","English","Well, somebody's wrong. The coin-toss nature of the 2024 election is demonstrated in two competing narratives in major news outlets on Tuesday. For Trump: Axios reports that Donald Trump allies in the world of MAGA ""appear supremely confident"" that he will win re-election. The piece includes a tweeted quote from...","https://img1-azrcdn.newser.com/image/1569100-11-20241029071241-weird-reality-2024-sides-confident-victory.jpeg",""
"""A microbiologist explains why we age and die""","https://www.npr.org/2024/10/28/1257825213/death-science-dying-dna-aging-telomeres","2024-10-29 07:00:20","Jessica Yung","Npr","United States Of America","Science","English","Humans have seen a significant increase in life expectancy over the past 200 years — but not in overall lifespan. Nobody on record has lived past 122 years. So, for this early Halloween episode, host Regina G. Barber asks: Why do we age and why do we die? Microbiologist Venki Ramakrishnan explains some of the mechanisms inside of our bodies that contribute to our decay — and tells us if it's possible to intervene in the process.Curious about other biology news? Email us at shortwave@npr.org and we might cover your topic on a future episode!","https://media.npr.org/assets/img/2024/10/28/10.29.24-ep_wide-11617546096ade1228d6e2736f0f198d4f18c6d9.jpg?c=100&f=jpeg&s=1400",""
"""From fish to clean water, the ocean matters—how to quantify the benefits""","https://phys.org/news/2024-10-fish-ocean-quantify-benefits.html","2024-10-29 06:40:01","","Phys.org","United States Of America","Science","English","Nature protection, conservation and restoration is ""not a trivial matter but key to human survival,"" according to scientists quoted in a 2005 UN report. To demonstrate this, they developed the concept of ""ecosystem services""—the benefits that people derive from nature. Over the next 20 years, this concept has been in constant development to reflect our growing understanding of how ecosystems work and how we benefit from them.","https://scx1.b-cdn.net/csz/news/tmb/2020/marine.jpg",""
"""Meet the New Leader of Hezbollah""","https://www.newser.com/story/358569/meet-the-new-leader-of-hezbollah.html","2024-10-29 06:07:22","","Newser","United States Of America","Science","English","Lebanon's Hezbollah says it has chosen Naim Kassem as its new leader, a replacement for Hassan Nasrallah, who was killed in September in an Israeli airstrike. Kassem, who'd been Nasrallah's deputy for more than three decades, has served as the militant group's acting leader since Nasrallah's death on Sept. 27,...","https://img2-azrcdn.newser.com/image/1569091-11-20241029055606-meet-new-leader-hezbollah.jpeg",""
"""Trump Gets a Key Ally Back From Prison""","https://www.newser.com/story/358575/steve-bannon-out-of-prison-im-empowered.html","2024-10-29 05:42:35","John Johnson","Newser","United States Of America","Science","English","Steve Bannon is a free man again, just in time to help with a final election push. The Donald Trump ally was released from prison early Tuesday after serving four months for contempt of Congress amid its investigation of the Capitol riot, reports CNN . ""I'm not broken, I'm empowered,"" Bannon...","https://img1-azrcdn.newser.com/image/1569090-11-20241029054140-steve-bannon-prison-im-empowered.jpeg",""
"""The US tech startup promising smarter babies – podcast""","https://www.theguardian.com/science/audio/2024/oct/29/the-us-tech-startup-promising-smarter-babies-podcast","2024-10-29 05:00:04","Presented and produced by Madeleine Finlay with Hannah Devlin, sound design by Joel Cox; the executive producer is Ellie Bury","The Guardian","Australia","Science","English","A startup company, Heliospect Genomics, is offering to help wealthy couples screen their embryos for IQ using controversial technology that raises questions about the ethics of genetic enhancement. Science correspondent Hannah Devlin tells Madeleine Finlay about the joint investigation into the company by the Guardian and the campaign group Hope Not HateUS startup charging couples to ‘screen embryos for IQ’ Continue reading...","",""
