"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""AP Sports SummaryBrief at 10:18 a.m. EDT""","https://www.yakimaherald.com/ap/sports/ap-sports-summarybrief-at-10-18-a-m-edt/article_cf669fab-bc0e-511a-88c3-9830c6a089b5.html","2024-10-31 14:18:25","AP","Yakima Herald-republic","United States Of America","Education","English","Dodgers win World Series in 5 games, overcome 5-run deficit with help of errors to beat Yankees 7-6","",""
"""PHOTO COLLECTION: World Series Reax""","https://www.yakimaherald.com/news/nation_and_world/nation/photo-collection-world-series-reax/article_f7cfaed0-284f-57f0-88f0-d67eed5de01f.html","2024-10-31 14:08:55","AP","Yakima Herald-republic","United States Of America","Education","English","This is a collection of photos chosen by AP photo editors.","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/b/08/b08458e9-bfb7-5e7c-bdad-af2b893ff2aa/672392972c3ba.image.jpg?resize=300%2C200",""
"""Google Maps adds AI features to help users explore and navigate the world around them""","https://www.yakimaherald.com/news/nation_and_world/business/google-maps-adds-ai-features-to-help-users-explore-and-navigate-the-world-around-them/article_218f64bf-4a06-534b-9659-f6a31f69949c.html","2024-10-31 14:01:06","By MICHAEL LIEDTKE - AP Technology Writer","Yakima Herald-republic","United States Of America","Education","English","Google Maps is heading down a new road steered by artificial intelligence. The shift announced Thursday will bring more of the revolutionary AI technology that Google already has been baking into its dominant search engine to the widely used digital...","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/c/1f/c1ff41f5-fb46-56b2-b0bb-eee9e65df6c5/67239692c3c7b.image.jpg?resize=300%2C200",""
"""Downingtown Area School District Honors Cultural Diversity with Indian and Native American Heritage Month Celebrations""","https://www.mychesco.com/a/education/school-districts/downingtown-sd/downingtown-area-school-district-honors-cultural-diversity-with-indian-and-native-american-heritage-month-celebrations/","2024-10-31 14:00:00","Maryann Pugh","Mychesco","United States Of America","Education","English","DOWNINGTOWN, PA — As part of its unwavering dedication to promoting diversity and inclusivity, the Downingtown Area School District (DASD) has initiated its annual observance of Indian Heritage Month and ...","https://i0.wp.com/www.mychesco.com/wp-content/uploads/2024/10/DASD-Indian-Heritage-Month-Photo.jpeg?fit=365%2C199&ssl=1",""
"""Lower Columbia College debate team wins third place""","https://tdn.com/news/local/education/lower-columbia-college-debate-team-wins-third-place/article_ae14b87e-961a-11ef-b7d7-b7b72f4736e6.html","2024-10-31 14:00:00","Minka Atkinson matkinson@tdn.com","The Daily News","United States Of America","Education","English","The LCC Fighting Smelt Speech and Debate Team won third place in overall team sweepstakes and placed first among community colleges at the Clark and Rae Peters Invitational.","https://bloximages.chicago2.vip.townnews.com/tdn.com/content/tncms/assets/v3/editorial/6/21/6211c6a6-961f-11ef-ae38-639edf368cae/6721229f5b500.image.jpg?resize=300%2C300",""
"""Lindsay Unified superintendent retiring after 23 years""","https://abc30.com/post/lindsay-unified-superintendent-retiring-after-23-years/15492300/","2024-10-31 13:46:31","KFSN","Abc 30","United States Of America","Education","English","Lindsay Unified announced their superintendent, Tom Rooney, is retiring after 23 years.","https://cdn.abcotvs.com/dip/images/15492390_103124-kfsn-5a-lindsay-superintendent-vid.jpg?w=1600",""
"""Limburg named TSSAA Softball Coach of the Year, honored in proclamation""","https://www.clevelandbanner.com/news/limburg-named-tssaa-softball-coach-of-the-year-honored-in-proclamation/article_412d0c5d-5e70-58af-88c1-2632d346ce66.html","2024-10-31 13:30:00","","Clevelandbanner","United States Of America","Education","English","Lauren Limburg, a softball coach for Walker Valley High School, has been named TSSAA Softball Coach of the Year, and state and local officials had the opportunity to celebrate her accomplishment.","https://bloximages.chicago2.vip.townnews.com/clevelandbanner.com/content/tncms/assets/v3/editorial/a/5c/a5c7db08-fe75-555b-946d-30d75667e54c/672259093ea0b.image.jpg?resize=300%2C200",""
"""The struggle for Senate control goes down to the wire as spending shatters records""","https://www.yakimaherald.com/news/nation_and_world/nation/the-struggle-for-senate-control-goes-down-to-the-wire-as-spending-shatters-records/article_9eb3c695-f8a3-5af9-9850-972ec508497d.html","2024-10-31 13:02:05","By MARC LEVY - Associated Press","Yakima Herald-republic","United States Of America","Education","English","Billions of dollars in ads are raining down on voters across the Rust Belt, Rocky Mountains and American southwest as the two major political parties struggle for control of the U.S. Senate. Republicans need to pick up two seats to...","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/c/a5/ca522015-fdfa-5b09-9c0c-88ff6de55571/6721750a0cb9a.image.jpg?resize=300%2C199",""
"""Lovingood to resign from county BOE, pursuing new ministry opportunity in AL""","https://www.clevelandbanner.com/news/lovingood-to-resign-from-county-boe-pursuing-new-ministry-opportunity-in-al/article_9500f1bc-89ff-5267-b051-867fb5aebc8e.html","2024-10-31 13:00:00","","Clevelandbanner","United States Of America","Education","English","A Bradley County Schools Board of Education member will be resigning in November.","https://bloximages.chicago2.vip.townnews.com/clevelandbanner.com/content/tncms/assets/v3/editorial/6/61/661949e7-c5b4-58b6-ae37-c622cb90d3e5/672244209befb.image.jpg?resize=300%2C200",""
"""Granite Falls schools placed on lockdown. Report of threat found to be false""","https://hickoryrecord.com/news/local/education/granite-falls-schools-placed-on-lockdown-report-of-threat-found-to-be-false-caldwell-county-north-carolina/article_1c8495b2-9784-11ef-aae6-db35f45eff08.html","2024-10-31 12:36:00","From staff reports","Hickory Daily Record","United States Of America","Education","English","The lockdown was performed out of an abundance of caution.","",""
